text_content,sender_domain,label
Internship opportunity confirmation from Oracle,intel.com,1
Pay ₹999 to receive your certificate,careers-meta.org,0
Internship joining instructions from Intel,adobe.com,1
Click the link to claim your internship opportunity,internmail.cc,0
You have been officially accepted as a Microsoft intern,nvidia.com,1
Internship opportunity confirmation from Oracle,microsoft.com,1
Welcome to the Google Summer Internship Program,oracle.com,1
Click the link to claim your internship opportunity,careers-meta.org,0
Final selection list for internship at SAP,amazon.com,1
Internship offer pending your response,intern-portal.org,0
Offer letter for Summer Internship at Adobe,ibm.com,1
Final selection list for internship at SAP,google.com,1
"Your resume has been shortlisted, please respond to proceed",careerupdate.online,0
Final reminder to complete your internship registration,jobs-securelink.co,0
"Limited-time internship offer, apply now",intern-portal.org,0
You have been officially accepted as a Microsoft intern,microsoft.com,1
"Limited-time internship offer, apply now",careerupdate.online,0
Internship joining instructions from Intel,ibm.com,1
Internship opportunity confirmation from Oracle,nvidia.com,1
Internship opportunity confirmation from Oracle,intel.com,1
"Your resume has been shortlisted, please respond to proceed",urgent-offer.net,0
Internship joining instructions from Intel,google.com,1
Kindly pay a processing fee to confirm your internship,internmail.cc,0
Internship joining instructions from Intel,sap.com,1
Pay ₹999 to receive your certificate,jobs-securelink.co,0
"Congratulations, you're selected for internship",careerupdate.online,0
"Limited-time internship offer, apply now",hr-google.com,0
Urgent: Confirm your internship slot now,careerupdate.online,0
Final reminder to complete your internship registration,hr-google.com,0
Click the link to claim your internship opportunity,urgent-offer.net,0
Kindly pay a processing fee to confirm your internship,urgent-offer.net,0
Welcome to the Google Summer Internship Program,sap.com,1
NVIDIA welcomes you to the internship program,amazon.com,1
"Congratulations, you're selected for internship",hr-google.com,0
Internship joining instructions from Intel,microsoft.com,1
Verify your credentials to unlock internship offer,hr-google.com,0
"Congratulations, you're selected for internship",jobs-securelink.co,0
Internship opportunity confirmation from Oracle,sap.com,1
Kindly pay a processing fee to confirm your internship,urgent-offer.net,0
Final reminder to complete your internship registration,intern-portal.org,0
Internship offer pending your response,intern-checks.net,0
Kindly pay a processing fee to confirm your internship,internmail.cc,0
Final reminder to complete your internship registration,urgent-offer.net,0
Click the link to claim your internship opportunity,internmail.cc,0
Urgent: Confirm your internship slot now,hr-google.com,0
Welcome to the Google Summer Internship Program,amazon.com,1
Internship Confirmation Letter from IBM,oracle.com,1
Pay ₹999 to receive your certificate,internship-certificate.xyz,0
Internship offer pending your response,intern-checks.net,0
"Your resume has been shortlisted, please respond to proceed",internmail.cc,0
Final reminder to complete your internship registration,verify-now.info,0
Internship opportunity confirmation from Oracle,nvidia.com,1
"Your resume has been shortlisted, please respond to proceed",urgent-offer.net,0
This is to certify your internship at Microsoft,adobe.com,1
"Limited-time internship offer, apply now",internship-certificate.xyz,0
"Your resume has been shortlisted, please respond to proceed",intern-portal.org,0
This is to certify your internship at Microsoft,sap.com,1
