text_content,label
"This is to certify John Doe has completed an internship at Google.",1
"You have won an internship from scam-company.biz. Send your Aadhaar card.",0
"Dear candidate, your resume is selected. Pay ₹500 to confirm.",0
"Congratulations! You've been selected for an internship at a prestigious company.",1
"Urgent: Your Microsoft account will be suspended. Click here to verify: microsoft-security.tk",0
"Welcome to Netflix! Your account has been successfully created. Start streaming now.",1
"CONGRATULATIONS! You have won $10000 from Amazon. Click link to claim: amazon-prize.ml",0
"Thank you for your purchase on Amazon. Your order #123456 will be delivered tomorrow.",1
"Your PayPal account has been limited. Verify now: paypal-verification.ga",0
"Dear valued customer, your bank statement for October 2024 is now available.",1
"URGENT: Your credit card has been charged $999. Dispute now: secure-banking.cf",0
"Your Google Drive storage is full. Upgrade your plan to continue backing up files.",1
"You've received a payment of $5000. Confirm your details: payment-confirm.tk",0
"Dear student, your admission to MIT has been confirmed. Please complete enrollment.",1
"FREE IPHONE 15 PRO! Limited time offer. Enter details: iphone-giveaway.ml",0
"Your LinkedIn profile has been viewed by 50+ recruiters this week.",1
"ALERT: Suspicious login detected. Secure your account: facebook-security.ga",0
"Welcome to your new job at Tesla! Please report to HR on Monday morning.",1
"You owe $2000 in taxes. Pay immediately to avoid arrest: irs-payment.cf",0
"Your flight booking confirmation for Delhi to Mumbai on Air India.",1
"WINNER! You've won a lottery of $50000. Claim prize: lottery-winner.tk",0
"Dear applicant, thank you for applying to Software Engineer position at Meta.",1
"Your Instagram account will be deleted unless you verify: insta-verify.ml",0
"Congratulations on your graduation from Stanford University, Computer Science.",1
"URGENT: Your WhatsApp will expire today. Renew now: whatsapp-renew.ga",0
"Your Uber ride receipt for trip from Airport to Hotel Downtown.",1
"You've inherited $1 million from unknown relative. Contact: inheritance-claim.cf",0
"Your Spotify Premium subscription has been renewed for another month.",1
"FINAL NOTICE: Your internet will be disconnected. Pay bill: telecom-bill.tk",0
"Welcome to Swiggy! Your food delivery app account is ready to use.",1
"Your Apple ID has been compromised. Reset password: apple-security.ml",0
"Dear customer, your Flipkart order has been shipped and will arrive today.",1
"You've been pre-approved for loan of ₹5 lakhs. Apply now: quick-loan.ga",0
"Your Zomato Pro membership gives you free delivery on your next 10 orders.",1
"VIRUS DETECTED! Your computer is infected. Download cleaner: pc-cleaner.cf",0
"Your Microsoft Office 365 subscription renewal confirmation and receipt.",1
"You have 24 hours to claim your prize of $25000: prize-claim.tk",0
"Dear employee, your salary for November 2024 has been credited to account.",1
"Your Facebook account has been hacked. Secure now: fb-security.ml",0
"Congratulations! Your loan application has been approved by HDFC Bank.",1
"URGENT: Your email will be closed. Verify identity: email-verify.ga",0
"Your YouTube Premium subscription provides ad-free viewing experience.",1
"You owe money to court. Pay fine immediately: court-payment.cf",0
"Dear student, your scholarship application for MIT has been accepted.",1
"Your phone number has won ₹1 crore lottery. Claim: mobile-lottery.tk",0
"Your Amazon Prime Video subscription includes access to thousands of movies.",1
"SECURITY ALERT: Your bank account accessed from unknown device: bank-alert.ml",0
"Welcome to IIT Bombay! Your engineering admission is confirmed for 2025.",1
"Your SSN has been suspended due to illegal activity: ssn-verify.ga",0
"Your food order from McDonald's has been confirmed and is being prepared.",1
"You qualify for government grant of $15000. Apply: grant-money.cf",0
"Dear user, your Google Photos backup completed successfully last night.",1
"Your Bitcoin wallet has been credited with 5 BTC. Withdraw: crypto-wallet.tk",0
"Your internship offer from Goldman Sachs investment banking division confirmed.",1
"URGENT: Your electricity will be cut. Pay bill now: power-company.ml",0
"Your Airbnb booking in Goa for next weekend has been confirmed.",1
"You've been selected for work from home job. Pay registration fee: wfh-jobs.ga",0
"Your GitHub repository 'PhishGuard' has received 100+ stars from developers.",1
"Your credit score has dropped. Check report immediately: credit-check.cf",0
"Dear graduate, your job offer from TCS as Software Developer is confirmed.",1
